NUMERO INDIVIDUI >= 15 ANNI X ETA' E RELAZIONE PARENTELA
ETA'     RELAZIONE PARENTELA                     FAMIGLIE
40       padre/madre                             1
40       fratello/sorella                        83
40       fratellastro/sorellastra                1
40       nipote                                  50
40       cugino/cugina                           5
40       suocero/suocera                         1
40       genero/nuora                            135
40       cognato/cognata                         16
40       convivente                              386
41       intestatario scheda                     4082
41       coniuge                                 2774
41       figlio/figlia                           1510
41       figliastro/figliastra                   2
41       padre/madre                             2
41       fratello/sorella                        70
41       nipote                                  57
41       pronipote                               2
41       cugino/cugina                           6
41       suocero/suocera                         1
41       genero/nuora                            152
41       cognato/cognata                         24
41       convivente                              364
42       intestatario scheda                     4461
42       coniuge                                 2941
42       figlio/figlia                           1474
42       figliastro/figliastra                   1
42       padre/madre                             1
42       fratello/sorella                        102
42       nipote                                  48
42       cugino/cugina                           6
42       genero/nuora                            156
42       cognato/cognata                         30
42       convivente                              369
43       intestatario scheda                     4758
43       coniuge                                 3097
43       figlio/figlia                           1509
43       figliastro/figliastra                   1
43       padre/madre                             5
43       fratello/sorella                        89
43       nipote                                  46
43       cugino/cugina                           2
43       genero/nuora                            128
43       cognato/cognata                         28
43       convivente                              362
44       intestatario scheda                     4737
44       coniuge                                 2960
44       figlio/figlia                           1413
44       figliastro/figliastra                   2
44       padre/madre                             17
44       fratello/sorella                        88
44       fratellastro/sorellastra                1
44       zio/zia                                 1
44       nipote                                  54
44       cugino/cugina                           5
44       suocero/suocera                         2
44       genero/nuora                            116
44       cognato/cognata                         29
44       convivente                              359
45       intestatario scheda                     4779
45       coniuge                                 3106
45       figlio/figlia                           1340
45       figliastro/figliastra                   1
45       padre/madre                             9
45       fratello/sorella                        113
45       fratellastro/sorellastra                1
45       zio/zia                                 1
45       nipote                                  31
45       cugino/cugina                           6
45       genero/nuora                            110
45       cognato/cognata                         23
45       convivente                              308
46       intestatario scheda                     5046
46       coniuge                                 3145
46       figlio/figlia                           1250
46       figliastro/figliastra                   2
46       padre/madre                             14
46       fratello/sorella                        104
46       zio/zia                                 2
46       nipote                                  38
46       cugino/cugina                           7
46       suocero/suocera                         2
46       genero/nuora                            113
46       cognato/cognata                         30
46       convivente                              291
47       intestatario scheda                     4928
47       coniuge                                 3185
47       figlio/figlia                           1171
47       figliastro/figliastra                   2
47       padre/madre                             20
47       fratello/sorella                        129
47       zio/zia                                 3
47       nipote                                  29
47       cugino/cugina                           1
47       genero/nuora                            117
47       cognato/cognata                         18
47       convivente                              279
48       intestatario scheda                     5157
48       coniuge                                 3242
48       figlio/figlia                           1102
48       figliastro/figliastra                   2
48       padre/madre                             22
48       fratello/sorella                        122
48       zio/zia                                 1
48       nipote                                  14
48       cugino/cugina                           5
48       suocero/suocera                         1
48       genero/nuora                            110
48       cognato/cognata                         27
48       convivente                              275
49       intestatario scheda                     5211
49       coniuge                                 3221
49       figlio/figlia                           1026
49       figliastro/figliastra                   3
49       padre/madre                             22
49       fratello/sorella                        146
49       zio/zia                                 2
49       nipote                                  31
49       cugino/cugina                           5
49       suocero/suocera                         1
49       genero/nuora                            106
49       cognato/cognata                         32
49       convivente                              255
50       intestatario scheda                     5256
50       coniuge                                 3170
50       figlio/figlia                           976
50       figliastro/figliastra                   3
50       padre/madre                             26
50       fratello/sorella                        137
50       zio/zia                                 2
50       nipote                                  18
50       cugino/cugina                           2
50       suocero/suocera                         3
50       genero/nuora                            93
50       cognato/cognata                         31
50       convivente                              266
51       intestatario scheda                     5273
51       coniuge                                 3307
51       figlio/figlia                           1012
51       figliastro/figliastra                   1
51       padre/madre                             45
51       fratello/sorella                        154
51       nonno/nonna                             1
51       zio/zia                                 4
51       nipote                                  27
51       cugino/cugina                           4
51       suocero/suocera                         2
51       genero/nuora                            105
51       cognato/cognata                         28
51       convivente                              205
52       intestatario scheda                     5463
52       coniuge                                 3296
52       figlio/figlia                           809
52       figliastro/figliastra                   1
52       padre/madre                             49
52       fratello/sorella                        143
52       zio/zia                                 1
52       nipote                                  19
52       cugino/cugina                           8
52       suocero/suocera                         3
52       genero/nuora                            76
52       cognato/cognata                         30
52       convivente                              206
53       intestatario scheda                     5801
53       coniuge                                 3386
53       figlio/figlia                           776
53       figliastro/figliastra                   1
53       padre/madre                             52
53       fratello/sorella                        156
53       zio/zia                                 4
53       nipote                                  20
53       cugino/cugina                           7
53       suocero/suocera                         1
53       genero/nuora                            83
53       cognato/cognata                         43
53       convivente                              207
54       intestatario scheda                     5545
54       coniuge                                 3393
54       figlio/figlia                           756
54       padre/madre                             49
54       fratello/sorella                        179
54       zio/zia                                 1
54       nipote                                  21
54       cugino/cugina                           5
54       suocero/suocera                         3
54       genero/nuora                            78
54       cognato/cognata                         24
54       convivente                              190
55       intestatario scheda                     5507
55       coniuge                                 3308
55       figlio/figlia                           621
55       figliastro/figliastra                   2
55       padre/madre                             63
55       fratello/sorella                        153
55       zio/zia                                 3
55       nipote                                  11
55       cugino/cugina                           2
55       suocero/suocera                         1
55       genero/nuora                            71
55       cognato/cognata                         35
55       convivente                              155
56       intestatario scheda                     5407
56       coniuge                                 3329
56       figlio/figlia                           551
56       figliastro/figliastra                   1
56       padre/madre                             59
56       fratello/sorella                        148
56       zio/zia                                 5
56       nipote                                  21
56       cugino/cugina                           2
56       suocero/suocera                         9
56       genero/nuora                            65
56       cognato/cognata                         19
56       convivente                              167
57       intestatario scheda                     5290
57       coniuge                                 3216
57       figlio/figlia                           488
57       figliastro/figliastra                   2
57       padre/madre                             55
57       fratello/sorella                        134
57       zio/zia                                 5
57       nipote                                  5
57       cugino/cugina                           2
57       suocero/suocera                         2
57       genero/nuora                            41
57       cognato/cognata                         28
57       convivente                              118
58       intestatario scheda                     5302
58       coniuge                                 3177
58       figlio/figlia                           418
58       figliastro/figliastra                   1
58       padre/madre                             59
58       fratello/sorella                        170
58       fratellastro/sorellastra                1
58       zio/zia                                 3
58       nipote                                  11
58       cugino/cugina                           2
58       suocero/suocera                         14
58       genero/nuora                            48
58       cognato/cognata                         28
58       convivente                              142
59       intestatario scheda                     5218
59       coniuge                                 2971
59       figlio/figlia                           322
59       padre/madre                             75
59       fratello/sorella                        133
59       zio/zia                                 5
59       nipote                                  10
59       cugino/cugina                           3
59       suocero/suocera                         14
59       genero/nuora                            36
59       cognato/cognata                         35
59       convivente                              126
60       intestatario scheda                     5244
60       coniuge                                 3053
60       figlio/figlia                           328
60       figliastro/figliastra                   2
60       padre/madre                             71
60       fratello/sorella                        137
60       zio/zia                                 3
60       nipote                                  8
60       cugino/cugina                           4
60       suocero/suocera                         12
60       genero/nuora                            33
60       cognato/cognata                         24
60       convivente                              123
61       intestatario scheda                     5106
61       coniuge                                 3010
61       figlio/figlia                           244
61       padre/madre                             69
61       fratello/sorella                        129
61       zio/zia                                 2
61       nipote                                  4
61       cugino/cugina                           5
61       suocero/suocera                         19
61       genero/nuora                            30
61       cognato/cognata                         32
61       convivente                              106
62       intestatario scheda                     5076
62       coniuge                                 2907
62       figlio/figlia                           193
62       padre/madre                             80
62       fratello/sorella                        137
62       nonno/nonna                             1
62       zio/zia                                 6
62       nipote                                  1
62       cugino/cugina                           2
62       suocero/suocera                         12
62       genero/nuora                            24
62       cognato/cognata                         31
62       convivente                              87
63       intestatario scheda                     5123
63       coniuge                                 2957
63       figlio/figlia                           169
63       figliastro/figliastra                   1
63       padre/madre                             87
63       fratello/sorella                        137
63       nonno/nonna                             1
63       zio/zia                                 10
63       nipote                                  5
63       cugino/cugina                           1
63       suocero/suocera                         15
63       genero/nuora                            28
63       cognato/cognata                         21
63       convivente                              101
64       intestatario scheda                     5003
64       coniuge                                 2814
64       figlio/figlia                           139
64       padre/madre                             82
64       fratello/sorella                        109
64       zio/zia                                 2
64       nipote                                  2
64       cugino/cugina                           2
64       suocero/suocera                         13
64       genero/nuora                            26
64       cognato/cognata                         29
64       convivente                              72
65       intestatario scheda                     4838
65       coniuge                                 2634
65       figlio/figlia                           101
65       padre/madre                             90
65       fratello/sorella                        108
65       nonno/nonna                             1
65       zio/zia                                 8
65       nipote                                  3
65       cugino/cugina                           2
65       suocero/suocera                         13
65       genero/nuora                            16
65       cognato/cognata                         21
65       convivente                              68
66       intestatario scheda                     4869
66       coniuge                                 2516
66       figlio/figlia                           110
66       figliastro/figliastra                   1
66       padre/madre                             86
66       fratello/sorella                        86
66       zio/zia                                 4
66       nipote                                  1
66       cugino/cugina                           2
66       suocero/suocera                         15
66       genero/nuora                            12
66       cognato/cognata                         16
66       convivente                              72
67       intestatario scheda                     4964
67       coniuge                                 2499
67       figlio/figlia                           71
67       padre/madre                             79
67       fratello/sorella                        128
67       nonno/nonna                             1
67       zio/zia                                 5
67       nipote                                  4
67       cugino/cugina                           3
67       suocero/suocera                         19
67       genero/nuora                            8
67       cognato/cognata                         15
67       convivente                              50
68       intestatario scheda                     5050
68       coniuge                                 2412
68       figlio/figlia                           55
68       padre/madre                             74
68       fratello/sorella                        132
68       zio/zia                                 4
68       nipote                                  2
68       cugino/cugina                           3
68       suocero/suocera                         21
68       genero/nuora                            9
68       cognato/cognata                         18
68       convivente                              54
69       intestatario scheda                     5118
69       coniuge                                 2574
69       figlio/figlia                           43
69       padre/madre                             86
69       fratello/sorella                        98
69       zio/zia                                 2
69       nipote                                  1
69       cugino/cugina                           3
69       suocero/suocera                         24
69       genero/nuora                            6
69       cognato/cognata                         23
69       convivente                              56
70       intestatario scheda                     5108
70       coniuge                                 2245
70       figlio/figlia                           46
70       padre/madre                             105
70       fratello/sorella                        115
70       zio/zia                                 7
70       nipote                                  2
70       cugino/cugina                           4
70       suocero/suocera                         22
70       genero/nuora                            7
70       cognato/cognata                         20
70       convivente                              58
71       intestatario scheda                     4993
71       coniuge                                 2227
71       figlio/figlia                           27
71       padre/madre                             97
71       fratello/sorella                        87
71       nonno/nonna                             2
71       zio/zia                                 10
71       nipote                                  1
71       cugino/cugina                           2
71       suocero/suocera                         29
71       genero/nuora                            8
71       cognato/cognata                         18
71       convivente                              46
72       intestatario scheda                     4438
72       coniuge                                 1883
72       figlio/figlia                           19
72       padre/madre                             75
72       fratello/sorella                        83
72       nonno/nonna                             2
72       zio/zia                                 5
72       cugino/cugina                           2
72       suocero/suocera                         24
72       genero/nuora                            9
72       cognato/cognata                         12
72       convivente                              48
73       intestatario scheda                     4494
73       coniuge                                 1733
73       figlio/figlia                           13
73       padre/madre                             84
73       fratello/sorella                        83
73       fratellastro/sorellastra                1
73       nonno/nonna                             4
73       zio/zia                                 2
73       cugino/cugina                           4
73       suocero/suocera                         20
73       genero/nuora                            7
73       cognato/cognata                         16
73       convivente                              40
74       intestatario scheda                     3588
74       coniuge                                 1329
74       figlio/figlia                           7
74       padre/madre                             65
74       fratello/sorella                        51
74       nonno/nonna                             1
74       zio/zia                                 3
74       nipote                                  3
74       cugino/cugina                           2
74       suocero/suocera                         28
74       genero/nuora                            3
74       cognato/cognata                         8
74       convivente                              26
75       intestatario scheda                     3768
75       coniuge                                 1308
75       figlio/figlia                           6
75       padre/madre                             63
75       fratello/sorella                        46
75       nonno/nonna                             2
75       zio/zia                                 6
75       nipote                                  1
75       cugino/cugina                           2
75       suocero/suocera                         20
75       genero/nuora                            1
75       cognato/cognata                         13
75       convivente                              24
76       intestatario scheda                     3630
76       coniuge                                 1258
76       figlio/figlia                           6
76       padre/madre                             82
76       fratello/sorella                        58
76       nonno/nonna                             5
76       zio/zia                                 6
76       nipote                                  1
76       cugino/cugina                           4
76       suocero/suocera                         25
76       cognato/cognata                         17
76       convivente                              29
77       intestatario scheda                     3934
77       coniuge                                 1177
77       figlio/figlia                           1
77       padre/madre                             69
77       fratello/sorella                        56
77       nonno/nonna                             2
77       zio/zia                                 8
77       suocero/suocera                         23
77       cognato/cognata                         11
77       convivente                              24
78       intestatario scheda                     3657
78       coniuge                                 1053
78       figlio/figlia                           3
78       padre/madre                             83
78       fratello/sorella                        61
78       fratellastro/sorellastra                1
78       nonno/nonna                             1
78       zio/zia                                 14
78       nipote                                  1
78       cugino/cugina                           3
78       suocero/suocera                         25
78       genero/nuora                            2
78       cognato/cognata                         13
78       convivente                              25
79       intestatario scheda                     3715
79       coniuge                                 940
79       figlio/figlia                           2
79       figliastro/figliastra                   1
79       padre/madre                             84
79       fratello/sorella                        57
79       fratellastro/sorellastra                1
79       nonno/nonna                             2
79       zio/zia                                 6
79       cugino/cugina                           1
79       suocero/suocera                         33
79       cognato/cognata                         12
79       convivente                              20
80       intestatario scheda                     3402
80       coniuge                                 812
80       figlio/figlia                           1
80       padre/madre                             81
80       fratello/sorella                        49
80       nonno/nonna                             6
80       zio/zia                                 3
80       cugino/cugina                           2
80       suocero/suocera                         37
80       genero/nuora                            1
80       cognato/cognata                         14
80       convivente                              19
81       intestatario scheda                     2900
81       coniuge                                 643
81       figlio/figlia                           2
81       padre/madre                             83
81       fratello/sorella                        51
81       nonno/nonna                             2
81       zio/zia                                 7
81       suocero/suocera                         33
81       cognato/cognata                         8
81       convivente                              12
82       intestatario scheda                     3000
82       coniuge                                 557
82       padre/madre                             89
82       fratello/sorella                        31
82       nonno/nonna                             3
82       zio/zia                                 4
82       nipote                                  1
82       cugino/cugina                           2
82       suocero/suocera                         36
82       cognato/cognata                         4
82       convivente                              14
83       intestatario scheda                     2860
83       coniuge                                 473
83       figlio/figlia                           1
83       padre/madre                             79
83       fratello/sorella                        36
83       nonno/nonna                             5
83       zio/zia                                 11
83       cugino/cugina                           1
83       suocero/suocera                         42
83       genero/nuora                            2
83       cognato/cognata                         4
83       convivente                              9
84       intestatario scheda                     2674
84       coniuge                                 399
84       figlio/figlia                           1
84       padre/madre                             74
84       fratello/sorella                        35
84       zio/zia                                 12
84       cugino/cugina                           1
84       suocero/suocera                         51
84       cognato/cognata                         7
84       convivente                              16
85       intestatario scheda                     2479
85       coniuge                                 346
85       padre/madre                             59
85       fratello/sorella                        28
85       nonno/nonna                             2
85       zio/zia                                 4
85       suocero/suocera                         30
85       convivente                              10
86       intestatario scheda                     2146
86       coniuge                                 250
86       figlio/figlia                           1
86       padre/madre                             69
86       fratello/sorella                        24
86       nonno/nonna                             1
86       zio/zia                                 6
86       suocero/suocera                         45
86       cognato/cognata                         4
86       convivente                              6
87       intestatario scheda                     2045
87       coniuge                                 206
87       padre/madre                             73
87       fratello/sorella                        22
87       nonno/nonna                             3
87       zio/zia                                 7
87       suocero/suocera                         40
87       cognato/cognata                         8
87       convivente                              9
88       intestatario scheda                     1769
88       coniuge                                 122
88       padre/madre                             54
88       fratello/sorella                        27
88       nonno/nonna                             3
88       zio/zia                                 9
88       suocero/suocera                         37
88       cognato/cognata                         2
88       convivente                              4
89       intestatario scheda                     1386
89       coniuge                                 101
89       padre/madre                             58
89       fratello/sorella                        19
89       nonno/nonna                             3
89       zio/zia                                 6
89       suocero/suocera                         36
89       cognato/cognata                         3
89       convivente                              11
90       intestatario scheda                     1133
90       coniuge                                 61
90       padre/madre                             48
90       fratello/sorella                        11
90       nonno/nonna                             6
90       zio/zia                                 5
90       suocero/suocera                         19
90       cognato/cognata                         4
90       convivente                              3
91       intestatario scheda                     1001
91       coniuge                                 44
91       padre/madre                             51
91       fratello/sorella                        7
91       nonno/nonna                             2
91       zio/zia                                 5
91       suocero/suocera                         32
91       cognato/cognata                         3
91       convivente                              6
92       intestatario scheda                     761
92       coniuge                                 35
92       padre/madre                             44
92       fratello/sorella                        6
92       nonno/nonna                             7
92       zio/zia                                 9
92       suocero/suocera                         32
92       cognato/cognata                         2
92       convivente                              3
93       intestatario scheda                     626
93       coniuge                                 21
93       padre/madre                             38
93       fratello/sorella                        10
93       nonno/nonna                             3
93       zio/zia                                 3
93       suocero/suocera                         19
93       cognato/cognata                         5
93       convivente                              3
94       intestatario scheda                     481
94       coniuge                                 11
94       padre/madre                             34
94       fratello/sorella                        2
94       nonno/nonna                             3
94       zio/zia                                 7
94       suocero/suocera                         16
94       cognato/cognata                         1
94       convivente                              4
95       intestatario scheda                     347
95       coniuge                                 17
95       padre/madre                             17
95       fratello/sorella                        5
95       nonno/nonna                             2
95       zio/zia                                 5
95       suocero/suocera                         10
95       convivente                              2
96       intestatario scheda                     266
96       coniuge                                 5
96       padre/madre                             21
96       fratello/sorella                        1
96       nonno/nonna                             1
96       suocero/suocera                         12
96       cognato/cognata                         3
96       convivente                              1
97       intestatario scheda                     168
97       coniuge                                 3
97       padre/madre                             11
97       fratello/sorella                        3
97       nonno/nonna                             4
97       zio/zia                                 2
97       suocero/suocera                         9
97       cognato/cognata                         1
98       intestatario scheda                     110
98       coniuge                                 1
98       padre/madre                             12
98       nonno/nonna                             2
98       suocero/suocera                         6
98       convivente                              3
99       intestatario scheda                     40
99       padre/madre                             4
99       nonno/nonna                             1
99       suocero/suocera                         5
100      intestatario scheda                     32
100      padre/madre                             3
100      fratello/sorella                        1
100      suocero/suocera                         1
101      intestatario scheda                     22
101      padre/madre                             1
101      nonno/nonna                             1
101      zio/zia                                 1
101      suocero/suocera                         3
102      intestatario scheda                     17
102      coniuge                                 1
102      padre/madre                             1
102      zio/zia                                 1
103      intestatario scheda                     14
103      convivente                              1
104      intestatario scheda                     7
104      padre/madre                             1
104      suocero/suocera                         1
105      intestatario scheda                     2
105      nonno/nonna                             1
108      intestatario scheda                     1
